base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,rain.1h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,wind.gust,weather_id,main,description,icon
stations,10000.0,1.728204976E9,7200.0,3183875.0,Tirana,200.0,19.8189,41.3275,19.49,19.4,19.49,19.49,1012.0,73.0,1012.0,976.0,3.6,230.0,0.41,75.0,1.0,6359.0,AL,1.728189765E9,1.728231271E9,NaN,501,Rain,moderate rain,10d
stations,10000.0,1.728205208E9,7200.0,3041566.0,Andorra la Vella,200.0,1.4941,42.5045,11.84,11.01,11.66,13.56,1011.0,74.0,1011.0,814.0,1.86,205.0,NaN,100.0,2.0,2037369.0,AD,1.728194209E9,1.728235621E9,2.2,804,Clouds,overcast clouds,04d
stations,10000.0,1.728205212E9,14400.0,616052.0,Yerevan,200.0,44.5136,40.1811,22.09,21.09,22.09,22.09,1017.0,28.0,1017.0,896.0,1.54,150.0,NaN,0.0,1.0,8851.0,AM,1.728183795E9,1.72822539E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728204806E9,7200.0,2761369.0,Vienna,200.0,16.3721,48.2085,12.08,11.41,10.96,13.26,1014.0,79.0,1014.0,987.0,4.12,330.0,NaN,75.0,2.0,2037452.0,AT,1.728190863E9,1.728231827E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204863E9,14400.0,587084.0,Baku,200.0,49.892,40.3777,25.03,25.18,25.03,25.03,1020.0,61.0,1020.0,1019.0,9.26,160.0,NaN,75.0,1.0,8841.0,AZ,1.72818251E9,1.728224094E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.72820434E9,10800.0,625144.0,Minsk,200.0,27.5667,53.9,7.86,4.72,7.86,7.86,1012.0,74.0,1012.0,985.0,5.49,49.0,1.12,100.0,1.0,8939.0,BY,1.728188455E9,1.728228863E9,9.33,501,Rain,moderate rain,10d
stations,10000.0,1.728204538E9,7200.0,2800866.0,Brussels,200.0,4.3488,50.8504,9.65,8.04,8.73,11.4,1007.0,87.0,1007.0,1000.0,3.09,120.0,NaN,0.0,1.0,1227.0,BE,1.728193875E9,1.728234585E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728205215E9,7200.0,3191281.0,Sarajevo,200.0,18.3564,43.8486,11.62,11.45,11.62,11.95,1013.0,100.0,1013.0,904.0,1.54,0.0,NaN,75.0,2.0,145110.0,BA,1.728190209E9,1.728231529E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204856E9,10800.0,727011.0,Sofia,200.0,23.3242,42.6975,13.83,13.41,13.83,16.69,1011.0,82.0,1011.0,933.0,2.57,310.0,NaN,75.0,1.0,6366.0,BG,1.728188972E9,1.728230381E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728205067E9,7200.0,6618983.0,Donji grad,200.0,15.9775,45.8131,13.39,12.95,12.12,13.83,1015.0,83.0,1015.0,996.0,0.51,0.0,NaN,40.0,2.0,2006646.0,HR,1.728190857E9,1.728232023E9,NaN,802,Clouds,scattered clouds,03d
stations,10000.0,1.728204465E9,10800.0,146268.0,Nicosia,200.0,33.3667,35.1667,28.83,28.61,25.18,29.1,1012.0,42.0,1012.0,980.0,0.0,0.0,NaN,20.0,1.0,6370.0,CY,1.728186312E9,1.728228222E9,NaN,801,Clouds,few clouds,02d
stations,10000.0,1.728204574E9,7200.0,3067696.0,Prague,200.0,14.4208,50.088,9.17,8.66,8.26,10.52,1014.0,83.0,1014.0,979.0,1.54,0.0,NaN,75.0,2.0,2010430.0,CZ,1.728191418E9,1.728232209E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204994E9,7200.0,2618425.0,Copenhagen,200.0,12.5655,55.6759,12.41,11.77,10.5,13.01,1015.0,79.0,1015.0,1014.0,2.57,120.0,NaN,4.0,2.0,2035645.0,DK,1.728192163E9,1.728232354E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728204737E9,10800.0,588409.0,Tallinn,200.0,24.7535,59.437,11.19,10.35,11.19,11.96,1015.0,76.0,1015.0,1012.0,4.63,220.0,NaN,0.0,1.0,1330.0,EE,1.728189487E9,1.728229181E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728204878E9,10800.0,658225.0,Helsinki,200.0,24.9355,60.1695,12.54,11.96,11.66,13.21,1013.0,81.0,1013.0,1011.0,12.52,210.0,NaN,75.0,2.0,2011913.0,FI,1.728189499E9,1.728229082E9,14.75,803,Clouds,broken clouds,04d
stations,4800.0,1.728204926E9,7200.0,2988507.0,Paris,200.0,2.3488,48.8534,10.91,10.48,10.0,11.59,1004.0,93.0,1004.0,995.0,4.63,130.0,0.1,100.0,2.0,2012208.0,FR,1.728194261E9,1.728235159E9,NaN,301,Drizzle,drizzle,09d
stations,10000.0,1.728204575E9,14400.0,611717.0,Tbilisi,200.0,44.8337,41.6941,21.84,21.46,21.84,21.84,1019.0,53.0,1019.0,951.0,2.06,0.0,NaN,0.0,1.0,8862.0,GE,1.72818377E9,1.728225261E9,NaN,701,Mist,mist,50d
stations,10000.0,1.728204964E9,7200.0,2950159.0,Berlin,200.0,13.4105,52.5244,10.15,9.44,9.01,11.12,1014.0,85.0,1014.0,1009.0,1.54,110.0,NaN,100.0,2.0,2011538.0,DE,1.728191782E9,1.728232329E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728204923E9,10800.0,264371.0,Athens,200.0,23.7162,37.9795,25.08,25.24,23.89,26.43,1011.0,61.0,1011.0,987.0,2.68,242.0,NaN,81.0,2.0,2005332.0,GR,1.728188717E9,1.728230449E9,4.47,804,Clouds,overcast clouds,04d
stations,10000.0,1.728205068E9,7200.0,3054643.0,Budapest,200.0,19.0399,47.498,12.74,12.34,11.55,12.82,1013.0,87.0,1013.0,991.0,1.54,180.0,NaN,75.0,2.0,2009313.0,HU,1.728190192E9,1.728231218E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728205188E9,0.0,3413829.0,Reykjavik,200.0,-21.8954,64.1355,1.81,-0.95,1.81,3.1,1020.0,55.0,1020.0,1006.0,2.57,20.0,NaN,0.0,1.0,91.0,IS,1.728201111E9,1.728239944E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204331E9,-25200.0,5344157.0,Dublin,200.0,-121.9358,37.7021,23.23,22.55,21.24,25.34,1014.0,36.0,1014.0,989.0,1.54,80.0,NaN,0.0,1.0,4774.0,US,1.728223686E9,1.728265378E9,NaN,800,Clear,clear sky,01d
