timestamp,id,country,city,main_temp,temp_min,temp_max,cloudiness,humidity,wind_speed,rain,condition,weather_description,longitude,latitude
2024-10-06 09:50:11,2759794,NL,Amsterdam,10.04,8.83,11.05,0,72.0,6.71,,Clouds,broken clouds,4.8897,52.374
2024-10-06 10:00:08,3041566,AD,Andorra la Vella,11.84,11.66,13.56,100,74.0,1.86,,Clouds,overcast clouds,1.4941,42.5045
2024-10-06 09:56:00,323786,TR,Ankara,25.75,24.51,26.28,0,31.0,1.34,,Rain,light rain,32.8543,39.9199
2024-10-06 09:55:23,264371,GR,Athens,25.08,23.89,26.43,81,61.0,2.68,,Clouds,overcast clouds,23.7162,37.9795
2024-10-06 09:54:23,587084,AZ,Baku,25.03,25.03,25.03,75,61.0,9.26,,Clouds,broken clouds,49.892,40.3777
2024-10-06 09:59:22,792680,RS,Belgrade,13.64,11.9,14.07,75,81.0,3.6,,Clear,clear sky,20.4651,44.804
2024-10-06 09:56:04,2950159,DE,Berlin,10.15,9.01,11.12,100,85.0,1.54,,Clear,clear sky,13.4105,52.5244
2024-10-06 09:58:42,2661552,CH,Bern,7.52,6.42,9.96,0,93.0,1.54,0.37,Clouds,few clouds,7.4474,46.9481
2024-10-06 09:57:21,3060972,SK,Bratislava,12.31,10.96,13.68,75,80.0,3.09,,Clouds,broken clouds,17.1067,48.1482
2024-10-06 09:48:58,2800866,BE,Brussels,9.65,8.73,11.4,0,87.0,3.09,,Clear,clear sky,4.3488,50.8504
2024-10-06 09:51:03,683506,RO,Bucharest,18.86,17.83,19.01,20,77.0,3.13,,Clouds,broken clouds,26.1063,44.4323
2024-10-06 09:57:48,3054643,HU,Budapest,12.74,11.55,12.82,75,87.0,1.54,,Clouds,broken clouds,19.0399,47.498
2024-10-06 09:52:33,618426,MD,Chișinău,17.74,17.74,18.24,75,99.0,3.09,,Clouds,few clouds,28.8575,47.0056
2024-10-06 09:56:34,2618425,DK,Copenhagen,12.41,10.5,13.01,4,79.0,2.57,,Clear,clear sky,12.5655,55.6759
2024-10-06 09:57:47,6618983,HR,Donji grad,13.39,12.12,13.83,40,83.0,0.51,,Clouds,scattered clouds,15.9775,45.8131
2024-10-06 09:45:31,5344157,US,Dublin,23.23,21.24,25.34,0,36.0,1.54,,Clear,clear sky,-121.9358,37.7021
2024-10-06 09:54:38,658225,FI,Helsinki,12.54,11.66,13.21,75,81.0,12.52,,Clouds,broken clouds,24.9355,60.1695
2024-10-06 09:54:49,703448,UA,Kyiv,19.05,18.7,19.78,100,99.0,0.45,3.65,Clear,clear sky,30.5167,50.4333
2024-10-06 09:52:16,2267057,PT,Lisbon,20.97,19.24,21.71,75,85.0,6.69,,Clouds,broken clouds,-9.1333,38.7167
2024-10-06 09:58:25,3196359,SI,Ljubljana,11.37,10.32,12.18,20,89.0,1.03,,Clouds,broken clouds,14.5051,46.0511
2024-10-06 09:51:31,2643743,GB,London,12.95,12.14,13.68,100,83.0,5.66,,Rain,moderate rain,-0.1257,51.5085
2024-10-06 09:48:05,2791993,BE,Luxembourg Province,7.0,5.93,8.9,100,87.0,6.6,0.71,Rain,light rain,5.5,50.0
2024-10-06 09:54:12,3117735,ES,Madrid,18.19,17.31,19.59,75,79.0,7.72,0.24,Clouds,few clouds,-3.7026,40.4165
2024-10-06 09:45:40,625144,BY,Minsk,7.86,7.86,7.86,100,74.0,5.49,1.12,Rain,moderate rain,27.5667,53.9
2024-10-06 10:00:20,2993457,MC,Monaco,16.85,15.87,18.5,75,67.0,3.09,,Clouds,broken clouds,7.419,43.7314
2024-10-06 09:54:46,524901,RU,Moscow,11.08,10.24,11.48,100,58.0,3.27,,Clouds,few clouds,37.6156,55.7522
,0,NaN,NaN,,,,0,,,,Clouds,overcast clouds,,
2024-10-06 09:47:45,146268,CY,Nicosia,28.83,25.18,29.1,20,42.0,0.0,,Clouds,few clouds,33.3667,35.1667
2024-10-06 09:52:38,1526273,KZ,Nur-Sultan,17.97,17.97,17.97,40,20.0,5.0,,Clear,clear sky,71.446,51.1801
2024-10-06 09:57:11,3143244,NO,Oslo,11.19,10.52,12.61,72,82.0,2.44,,Clouds,scattered clouds,10.7461,59.9127
2024-10-06 09:55:26,2988507,FR,Paris,10.91,10.0,11.59,100,93.0,4.63,0.1,Drizzle,drizzle,2.3488,48.8534
2024-10-06 09:56:32,3193044,ME,Podgorica,16.89,15.72,16.95,75,82.0,2.06,,Clouds,broken clouds,19.2636,42.4411
2024-10-06 09:49:34,3067696,CZ,Prague,9.17,8.26,10.52,75,83.0,1.54,,Clouds,broken clouds,14.4208,50.088
2024-10-06 09:59:48,3413829,IS,Reykjavik,1.81,1.81,3.1,0,55.0,2.57,,Clouds,broken clouds,-21.8954,64.1355
2024-10-06 09:58:50,4219762,US,Rome,17.35,16.11,18.26,0,94.0,1.67,,Clear,clear sky,-85.1647,34.257
2024-10-06 09:58:16,456173,LV,Rīga,10.03,10.02,10.51,0,78.0,2.06,,Clouds,scattered clouds,24.0833,57.0
2024-10-06 10:00:21,3168068,SM,San Marino,15.75,15.18,16.5,0,67.0,4.63,,Clouds,overcast clouds,12.4167,43.9333
2024-10-06 10:00:15,3191281,BA,Sarajevo,11.62,11.62,11.95,75,100.0,1.54,,Clouds,broken clouds,18.3564,43.8486
2024-10-06 09:52:03,785842,MK,Skopje,17.82,17.82,17.82,40,72.0,0.51,,Clear,clear sky,21.4333,42.0
2024-10-06 09:54:16,727011,BG,Sofia,13.83,13.83,16.69,75,82.0,2.57,,Clouds,broken clouds,23.3242,42.6975
2024-10-06 09:52:10,2673730,SE,Stockholm,12.26,11.86,12.81,20,79.0,3.6,,Rain,light rain,18.0649,59.3326
2024-10-06 09:52:17,588409,EE,Tallinn,11.19,11.19,11.96,0,76.0,4.63,,Clear,clear sky,24.7535,59.437
2024-10-06 09:49:35,611717,GE,Tbilisi,21.84,21.84,21.84,0,53.0,2.06,,Mist,mist,44.8337,41.6941
2024-10-06 09:56:16,3183875,AL,Tirana,19.49,19.49,19.49,75,73.0,3.6,0.41,Rain,moderate rain,19.8189,41.3275
2024-10-06 09:50:04,3042030,LI,Vaduz,12.56,10.25,12.56,98,80.0,2.07,,Clear,clear sky,9.5215,47.1415
2024-10-06 09:45:43,2562305,MT,Valletta,23.3,23.3,23.88,20,53.0,5.66,,Rain,light rain,14.5147,35.8997
2024-10-06 10:00:23,6691831,VA,Vatican City,16.92,16.03,19.35,100,66.0,0.89,,Clouds,overcast clouds,12.4533,41.9024
2024-10-06 09:53:26,2761369,AT,Vienna,12.08,10.96,13.26,75,79.0,4.12,,Clouds,broken clouds,16.3721,48.2085
2024-10-06 09:50:42,593116,LT,Vilnius,7.49,7.49,7.62,40,87.0,4.12,1.0,Clouds,overcast clouds,25.2798,54.6892
2024-10-06 09:49:08,756135,PL,Warsaw,10.24,9.24,11.42,75,87.0,6.26,,Clouds,broken clouds,21.0118,52.2298
2024-10-06 10:00:12,616052,AM,Yerevan,22.09,22.09,22.09,0,28.0,1.54,,Clear,clear sky,44.5136,40.1811
